Name,Year,Month,Time,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
KIAMO-Accra,2003,03,06:00,92,86,90,87,92,91,92,87,89,89,88,89,88,90,90,87,88,90,79,92,92,92,92,75,90,89,88,85,90,87,89
KIAMO-Accra,2003,03,15:00,58,62,72,69,56,61,60,59,66,56,58,58,64,57,56,58,63,65,69,59,60,63,66,56,61,64,63,66,66,58,63
KIAMO-Accra,2003,04,06:00,89,89,92,88,93,93,92,89,87,91,90,90,88,90,98,92,90,93,88,93,91,92,93,92,89,91,89,93,94,92,
KIAMO-Accra,2003,04,15:00,62,72,86,61,65,62,71,59,67,68,93,81,68,69,69,67,63,60,86,62,64,66,67,67,61,66,70,67,65,60,
KIAMO-Accra,2003,05,06:00,89,91,92,94,88,91,92,90,89,90,90,93,93,92,93,92,89,88,90,94,92,93,88,91,90,92,89,93,92,93,94
KIAMO-Accra,2003,05,15:00,60,63,56,64,65,67,65,61,61,66,67,65,68,61,68,68,67,66,61,59,66,62,56,66,71,60,67,74,69,69,78
KIAMO-Accra,2003,06,06:00,93,90,93,92,96,97,92,94,95,92,97,95,97,92,96,95,96,98,93,92,93,94,91,88,86,92,93,94,92,92,
KIAMO-Accra,2003,06,15:00,66,72,66,71,80,71,96,74,73,72,81,79,78,76,68,76,67,74,69,69,93,72,71,70,65,67,67,71,77,69,
KIAMO-Accra,2003,07,06:00,93,90,79,90,93,95,88,92,91,87,85,90,91,92,92,89,95,92,92,92,85,83,90,93,92,95,92,93,88,88,89
KIAMO-Accra,2003,07,15:00,68,60,59,72,64,68,66,62,59,57,64,65,67,74,66,95,75,71,84,78,68,63,58,65,69,66,69,69,74,80,67
KIAMO-Accra,2003,08,06:00,90,92,97,88,91,92,94,94,93,90,92,92,93,93,89,88,92,87,87,88,93,93,83,88,92,87,92,88,89,88,87
KIAMO-Accra,2003,08,15:00,69,73,78,67,70,74,74,63,59,68,77,84,77,71,71,72,70,70,81,77,68,65,70,68,68,63,64,69,65,69,70
KIAMO-Accra,2003,09,06:00,88,92,92,88,86,92,92,90,88,92,90,93,93,92,92,88,91,94,93,92,95,92,92,92,88,90,90,92,92,89,
